Participant_id,Duration,Group,Test,Test_Score,is_val
688,506,1.0,TEST_S1_P_1,100.0,0
690,573,1.0,TEST_S1_P_1,75.0,0
694,336,1.0,TEST_S1_P_1,100.0,0
697,1131,1.0,TEST_S1_P_1,50.0,0
699,460,1.0,TEST_S1_P_1,100.0,0
701,845,1.0,TEST_S1_P_1,50.0,0
703,2874,1.0,TEST_S1_P_1,70.0,0
704,975,1.0,TEST_S1_P_1,60.0,0
711,438,1.0,TEST_S1_P_1,50.0,0
712,1257,1.0,TEST_S1_P_1,100.0,0
718,450,1.0,TEST_S1_P_1,50.0,0
719,584,1.0,TEST_S1_P_1,100.0,0
720,903,1.0,TEST_S1_P_1,40.0,0
721,356,1.0,TEST_S1_P_1,25.0,0
724,529,1.0,TEST_S1_P_1,36.0,0
725,526,1.0,TEST_S1_P_1,62.0,0
729,500,1.0,TEST_S1_P_1,47.0,0
738,344,1.0,TEST_S1_P_1,84.0,0
739,468,1.0,TEST_S1_P_1,100.0,0
741,414,1.0,TEST_S1_P_1,50.0,0
749,636,1.0,TEST_S1_P_1,50.0,0
760,590,1.0,TEST_S1_P_1,50.0,0
768,574,1.0,TEST_S1_P_1,50.0,0
769,696,1.0,TEST_S1_P_1,50.0,0
770,859,1.0,TEST_S1_P_1,100.0,0
771,488,1.0,TEST_S1_P_1,50.0,0
774,547,1.0,TEST_S1_P_1,100.0,0
775,966,1.0,TEST_S1_P_1,55.0,0
778,1670,1.0,TEST_S1_P_1,50.0,0
781,859,1.0,TEST_S1_P_1,100.0,0
783,2226,1.0,TEST_S1_P_1,94.0,0
787,352,1.0,TEST_S1_P_1,100.0,0
791,731,1.0,TEST_S1_P_1,80.0,0
792,671,1.0,TEST_S1_P_1,50.0,0
793,1130,1.0,TEST_S1_P_1,88.0,0
800,647,1.0,TEST_S1_P_1,68.0,0
801,950,1.0,TEST_S1_P_1,37.0,0
802,495,1.0,TEST_S1_P_1,100.0,0
813,463,1.0,TEST_S1_P_1,50.0,0
814,326,1.0,TEST_S1_P_1,50.0,0
815,809,1.0,TEST_S1_P_1,51.0,0
816,582,1.0,TEST_S1_P_1,50.0,0
821,826,1.0,TEST_S1_P_1,38.0,0
823,519,1.0,TEST_S1_P_1,100.0,0
824,379,1.0,TEST_S1_P_1,50.0,0
828,729,1.0,TEST_S1_P_1,50.0,0
845,642,1.0,TEST_S1_P_1,50.0,0
852,674,1.0,TEST_S1_P_1,60.0,0
857,327,1.0,TEST_S1_P_1,50.0,0
862,515,1.0,TEST_S1_P_1,0.0,0
864,840,1.0,TEST_S1_P_1,67.0,0
868,800,1.0,TEST_S1_P_1,100.0,0
878,592,1.0,TEST_S1_P_1,50.0,0
889,771,1.0,TEST_S1_P_1,100.0,0
894,625,1.0,TEST_S1_P_1,50.0,0
897,893,1.0,TEST_S1_P_1,50.0,0
900,790,1.0,TEST_S1_P_1,100.0,0
907,633,1.0,TEST_S1_P_1,60.0,0
917,485,1.0,TEST_S1_P_1,50.0,0
925,658,1.0,TEST_S1_P_1,88.0,0
926,686,1.0,TEST_S1_P_1,50.0,0
927,498,1.0,TEST_S1_P_1,50.0,0
928,969,1.0,TEST_S1_P_1,77.0,0
930,588,1.0,TEST_S1_P_1,50.0,0
931,1381,1.0,TEST_S1_P_1,40.0,0
932,875,1.0,TEST_S1_P_1,50.0,0
933,538,1.0,TEST_S1_P_1,51.0,0
937,573,1.0,TEST_S1_P_1,50.0,0
938,694,1.0,TEST_S1_P_1,66.0,0
941,576,1.0,TEST_S1_P_1,74.0,0
943,444,1.0,TEST_S1_P_1,50.0,0
945,440,1.0,TEST_S1_P_1,100.0,0
947,859,1.0,TEST_S1_P_1,51.0,0
948,635,1.0,TEST_S1_P_1,50.0,0
949,810,1.0,TEST_S1_P_1,82.0,0
952,505,1.0,TEST_S1_P_1,91.0,0
957,365,1.0,TEST_S1_P_1,50.0,0
959,468,1.0,TEST_S1_P_1,86.0,0
961,378,1.0,TEST_S1_P_1,92.0,0
969,424,1.0,TEST_S1_P_1,50.0,0
970,568,1.0,TEST_S1_P_1,50.0,0
974,441,1.0,TEST_S1_P_1,100.0,0
976,464,1.0,TEST_S1_P_1,60.0,0
978,643,1.0,TEST_S1_P_1,81.0,0
983,905,1.0,TEST_S1_P_1,100.0,0
984,721,1.0,TEST_S1_P_1,100.0,0
985,366,1.0,TEST_S1_P_1,50.0,0
991,512,1.0,TEST_S1_P_1,50.0,0
993,571,1.0,TEST_S1_P_1,50.0,0
998,736,1.0,TEST_S1_P_1,75.0,0
1000,448,1.0,TEST_S1_P_1,50.0,0
1002,437,1.0,TEST_S1_P_1,50.0,0
1007,570,1.0,TEST_S1_P_1,100.0,0
1009,1318,1.0,TEST_S1_P_1,100.0,0
1011,577,1.0,TEST_S1_P_1,50.0,0
1019,370,1.0,TEST_S1_P_1,50.0,0
1021,687,1.0,TEST_S1_P_1,50.0,0
1022,387,1.0,TEST_S1_P_1,50.0,0
1023,405,1.0,TEST_S1_P_1,50.0,0
1027,577,1.0,TEST_S1_P_1,50.0,0
1033,536,1.0,TEST_S1_P_1,50.0,0
1042,800,1.0,TEST_S1_P_1,70.0,0
1044,693,1.0,TEST_S1_P_1,66.0,0
1047,695,1.0,TEST_S1_P_1,60.0,0
1048,710,1.0,TEST_S1_P_1,100.0,0
1053,426,1.0,TEST_S1_P_1,100.0,0
1059,525,1.0,TEST_S1_P_1,60.0,0
1066,589,1.0,TEST_S1_P_1,100.0,0
1070,856,1.0,TEST_S1_P_1,94.0,0
1082,1197,1.0,TEST_S1_P_1,50.0,0
1086,1216,1.0,TEST_S1_P_1,97.0,0
1090,2522,1.0,TEST_S1_P_1,100.0,0
1095,304,1.0,TEST_S1_P_1,50.0,0
1099,910,1.0,TEST_S1_P_1,100.0,0
1100,884,1.0,TEST_S1_P_1,50.0,0
1108,794,1.0,TEST_S1_P_1,50.0,0
1111,1051,1.0,TEST_S1_P_1,50.0,0
1114,654,1.0,TEST_S1_P_1,0.0,0
1116,447,1.0,TEST_S1_P_1,34.0,0
1117,344,1.0,TEST_S1_P_1,0.0,0
1120,1473,1.0,TEST_S1_P_1,72.0,0
1122,668,1.0,TEST_S1_P_1,85.0,0
1123,1340,1.0,TEST_S1_P_1,100.0,0
1129,2621,1.0,TEST_S1_P_1,100.0,0
1131,582,1.0,TEST_S1_P_1,50.0,0
1132,994,1.0,TEST_S1_P_1,66.0,0
1135,657,1.0,TEST_S1_P_1,50.0,0
1139,787,1.0,TEST_S1_P_1,50.0,0
1143,428,1.0,TEST_S1_P_1,50.0,0
1144,728,1.0,TEST_S1_P_1,60.0,0
1152,704,1.0,TEST_S1_P_1,50.0,0
1157,541,1.0,TEST_S1_P_1,50.0,0
1158,587,1.0,TEST_S1_P_1,50.0,0
1159,440,1.0,TEST_S1_P_1,66.0,0
1163,666,1.0,TEST_S1_P_1,50.0,0
1166,471,1.0,TEST_S1_P_1,70.0,0
1177,327,1.0,TEST_S1_P_1,100.0,0
1184,643,1.0,TEST_S1_P_1,55.0,0
1189,537,1.0,TEST_S1_P_1,50.0,0
1190,548,1.0,TEST_S1_P_1,50.0,0
1198,606,1.0,TEST_S1_P_1,50.0,0
1202,1173,1.0,TEST_S1_P_1,100.0,0
1208,684,1.0,TEST_S1_P_1,82.0,0
1211,476,1.0,TEST_S1_P_1,50.0,0
1214,571,1.0,TEST_S1_P_1,50.0,0
1216,493,1.0,TEST_S1_P_1,69.0,0
1218,606,1.0,TEST_S1_P_1,100.0,0
1220,863,1.0,TEST_S1_P_1,50.0,0
1226,464,1.0,TEST_S1_P_1,55.0,0
1228,783,1.0,TEST_S1_P_1,50.0,0
1231,1290,1.0,TEST_S1_P_1,0.0,0
1233,581,1.0,TEST_S1_P_1,50.0,0
1235,642,1.0,TEST_S1_P_1,83.0,0
1236,508,1.0,TEST_S1_P_1,38.0,0
1240,419,1.0,TEST_S1_P_1,90.0,0
1241,420,1.0,TEST_S1_P_1,50.0,0
1242,708,1.0,TEST_S1_P_1,50.0,0
1250,519,1.0,TEST_S1_P_1,50.0,0
1260,465,1.0,TEST_S1_P_1,63.0,0
1264,420,1.0,TEST_S1_P_1,50.0,0
1265,350,1.0,TEST_S1_P_1,64.0,0
1269,1105,1.0,TEST_S1_P_1,100.0,0
1271,433,1.0,TEST_S1_P_1,75.0,0
1275,16828,1.0,TEST_S1_P_1,80.0,0
3,275,3.0,TEST_S1_P_1,100.0,0
4,379,3.0,TEST_S1_P_1,75.0,0
8,423,2.0,TEST_S1_P_1,85.0,0
9,393,2.0,TEST_S1_P_1,100.0,0
10,444,3.0,TEST_S1_P_1,100.0,0
13,414,3.0,TEST_S1_P_1,100.0,0
15,392,2.0,TEST_S1_P_1,72.0,0
18,434,2.0,TEST_S1_P_1,58.0,0
23,384,2.0,TEST_S1_P_1,64.0,0
24,346,2.0,TEST_S1_P_1,50.0,0
27,486,2.0,TEST_S1_P_1,60.0,0
28,457,3.0,TEST_S1_P_1,100.0,0
29,511,2.0,TEST_S1_P_1,50.0,0
31,423,2.0,TEST_S1_P_1,50.0,0
32,531,2.0,TEST_S1_P_1,50.0,0
35,484,2.0,TEST_S1_P_1,50.0,0
37,450,2.0,TEST_S1_P_1,100.0,0
38,526,2.0,TEST_S1_P_1,50.0,0
39,466,3.0,TEST_S1_P_1,51.0,0
41,435,3.0,TEST_S1_P_1,19.0,0
43,287,3.0,TEST_S1_P_1,100.0,0
44,526,2.0,TEST_S1_P_1,100.0,0
46,432,2.0,TEST_S1_P_1,71.0,0
48,425,2.0,TEST_S1_P_1,50.0,0
49,518,2.0,TEST_S1_P_1,95.0,0
51,448,3.0,TEST_S1_P_1,62.0,0
56,369,2.0,TEST_S1_P_1,100.0,0
61,494,2.0,TEST_S1_P_1,40.0,0
62,380,2.0,TEST_S1_P_1,50.0,0
64,503,3.0,TEST_S1_P_1,50.0,0
65,366,2.0,TEST_S1_P_1,50.0,0
66,634,3.0,TEST_S1_P_1,25.0,0
67,336,3.0,TEST_S1_P_1,96.0,0
68,588,3.0,TEST_S1_P_1,100.0,0
69,617,3.0,TEST_S1_P_1,50.0,0
71,495,3.0,TEST_S1_P_1,74.0,0
73,533,3.0,TEST_S1_P_1,50.0,0
78,483,3.0,TEST_S1_P_1,50.0,0
80,546,2.0,TEST_S1_P_1,50.0,0
81,478,3.0,TEST_S1_P_1,80.0,0
83,510,2.0,TEST_S1_P_1,50.0,0
85,628,3.0,TEST_S1_P_1,80.0,0
87,577,3.0,TEST_S1_P_1,50.0,0
88,558,3.0,TEST_S1_P_1,50.0,0
89,508,3.0,TEST_S1_P_1,71.0,0
90,577,2.0,TEST_S1_P_1,45.0,0
91,636,2.0,TEST_S1_P_1,70.0,0
92,653,3.0,TEST_S1_P_1,75.0,0
96,384,3.0,TEST_S1_P_1,83.0,0
101,358,3.0,TEST_S1_P_1,60.0,0
105,464,2.0,TEST_S1_P_1,50.0,0
107,708,3.0,TEST_S1_P_1,50.0,0
114,707,2.0,TEST_S1_P_1,100.0,0
115,486,3.0,TEST_S1_P_1,100.0,0
118,507,2.0,TEST_S1_P_1,100.0,0
123,660,3.0,TEST_S1_P_1,81.0,0
124,789,3.0,TEST_S1_P_1,50.0,0
126,686,2.0,TEST_S1_P_1,70.0,0
127,653,2.0,TEST_S1_P_1,100.0,0
128,726,2.0,TEST_S1_P_1,75.0,0
129,484,3.0,TEST_S1_P_1,71.0,0
130,450,2.0,TEST_S1_P_1,50.0,0
131,409,3.0,TEST_S1_P_1,50.0,0
132,434,2.0,TEST_S1_P_1,91.0,0
134,452,2.0,TEST_S1_P_1,50.0,0
136,519,3.0,TEST_S1_P_1,77.0,0
138,636,2.0,TEST_S1_P_1,100.0,0
142,675,2.0,TEST_S1_P_1,50.0,0
143,675,2.0,TEST_S1_P_1,100.0,0
144,487,2.0,TEST_S1_P_1,70.0,0
145,552,2.0,TEST_S1_P_1,50.0,0
146,487,3.0,TEST_S1_P_1,35.0,0
148,694,3.0,TEST_S1_P_1,90.0,0
151,756,3.0,TEST_S1_P_1,85.0,0
153,523,2.0,TEST_S1_P_1,50.0,0
155,459,2.0,TEST_S1_P_1,91.0,0
156,442,2.0,TEST_S1_P_1,50.0,0
157,534,2.0,TEST_S1_P_1,75.0,0
165,533,3.0,TEST_S1_P_1,50.0,0
166,378,2.0,TEST_S1_P_1,100.0,0
167,778,2.0,TEST_S1_P_1,50.0,0
169,757,3.0,TEST_S1_P_1,68.0,0
170,634,3.0,TEST_S1_P_1,63.0,0
172,344,3.0,TEST_S1_P_1,100.0,0
174,526,3.0,TEST_S1_P_1,100.0,0
177,709,2.0,TEST_S1_P_1,75.0,0
179,625,2.0,TEST_S1_P_1,50.0,0
180,649,3.0,TEST_S1_P_1,79.0,0
181,378,3.0,TEST_S1_P_1,100.0,0
188,662,3.0,TEST_S1_P_1,50.0,0
189,714,2.0,TEST_S1_P_1,50.0,0
190,654,3.0,TEST_S1_P_1,97.0,0
192,863,2.0,TEST_S1_P_1,100.0,0
193,654,2.0,TEST_S1_P_1,100.0,0
194,392,2.0,TEST_S1_P_1,50.0,0
195,514,2.0,TEST_S1_P_1,50.0,0
196,989,3.0,TEST_S1_P_1,100.0,0
199,408,2.0,TEST_S1_P_1,100.0,0
200,717,2.0,TEST_S1_P_1,50.0,0
202,575,2.0,TEST_S1_P_1,50.0,0
204,932,2.0,TEST_S1_P_1,50.0,0
206,775,2.0,TEST_S1_P_1,60.0,0
208,662,3.0,TEST_S1_P_1,100.0,0
209,422,3.0,TEST_S1_P_1,100.0,0
210,595,3.0,TEST_S1_P_1,50.0,0
211,730,2.0,TEST_S1_P_1,50.0,0
212,764,2.0,TEST_S1_P_1,50.0,0
213,472,3.0,TEST_S1_P_1,100.0,0
216,973,2.0,TEST_S1_P_1,100.0,0
218,432,3.0,TEST_S1_P_1,50.0,0
221,633,3.0,TEST_S1_P_1,50.0,0
222,391,3.0,TEST_S1_P_1,100.0,0
224,835,2.0,TEST_S1_P_1,100.0,0
225,938,2.0,TEST_S1_P_1,100.0,0
227,1147,3.0,TEST_S1_P_1,75.0,0
231,505,2.0,TEST_S1_P_1,75.0,0
232,541,2.0,TEST_S1_P_1,50.0,0
233,790,2.0,TEST_S1_P_1,100.0,0
239,620,3.0,TEST_S1_P_1,90.0,0
241,884,3.0,TEST_S1_P_1,70.0,0
242,526,2.0,TEST_S1_P_1,100.0,0
243,546,2.0,TEST_S1_P_1,100.0,0
244,515,2.0,TEST_S1_P_1,91.0,0
253,732,2.0,TEST_S1_P_1,60.0,0
254,626,3.0,TEST_S1_P_1,50.0,0
256,656,2.0,TEST_S1_P_1,75.0,0
257,576,2.0,TEST_S1_P_1,100.0,0
258,695,2.0,TEST_S1_P_1,50.0,0
259,573,2.0,TEST_S1_P_1,100.0,0
261,534,3.0,TEST_S1_P_1,25.0,0
263,548,2.0,TEST_S1_P_1,50.0,0
264,517,2.0,TEST_S1_P_1,50.0,0
266,530,2.0,TEST_S1_P_1,50.0,0
268,619,2.0,TEST_S1_P_1,75.0,0
